Count,X,Y,Potter,Weasley,Granger,Trip,Close,Far
1,4.260220703,3.593390801,1,0,0,1,0,0
2,7.746763746,6.239590912,1,0,0,1,0,0
3,11.03076013,9.618213601,1,0,0,1,0,0
4,14.9267474,13.14752835,1,0,0,1,1,6
5,17.67031575,15.44343704,1,0,0,1,0,10
6,20.81013374,17.58171502,1,0,0,1,0,0
7,24.33790592,20.42440695,1,0,0,1,0,0
8,26.49114834,23.07123379,1,0,0,1,0,0
9,28.09270942,27.43451285,1,0,0,1,0,1
10,29.44832636,29.04618474,1,0,0,1,0,3
11,32.02046731,30.05767348,1,0,0,1,0,6
12,33.83369426,31.53912484,1,0,0,1,1,7
13,33.91145143,32.94714645,1,0,0,1,0,3
14,35.16908034,34.2353337,1,0,0,1,0,2
15,37.62575139,35.61085895,1,0,0,1,0,1
16,38.80011899,35.50745212,1,0,0,1,0,0
17,39.4448197,36.37877818,1,0,0,1,0,0
18,39.94120087,37.35650857,1,0,0,1,0,0
19,40.88192882,38.22597063,1,0,0,1,0,0
20,42.14759785,41.77878193,1,0,0,1,0,0
21,43.36861243,42.24198896,1,0,0,1,0,0
22,45.80760103,43.30994532,1,0,0,1,0,0
23,47.07920366,43.85991715,1,0,0,1,0,0
24,48.96995789,44.68995358,1,0,0,1,0,0
25,52.38604367,45.0469792,1,0,0,1,0,0
26,53.13548387,45.37377494,1,0,0,1,0,0
27,54.34655707,45.203045,1,0,0,1,0,0
28,56.15831799,46.42450332,1,0,0,1,0,0
29,56.38285265,46.83831758,1,0,0,1,0,0
30,55.36238522,47.20755648,1,0,0,1,0,0
31,56.91967694,46.9027211,1,0,0,1,0,0
32,58.0957618,47.50136995,1,0,0,1,0,2
33,59.2502134,48.42940813,1,0,0,1,0,9
34,60.81116849,47.31850698,1,0,0,1,0,4
35,59.81424686,46.33302893,1,0,0,1,0,1
36,60.1651908,47.59867083,1,0,0,1,1,5
37,61.52433182,46.41286844,1,0,0,1,0,1
38,60.33825509,46.39912016,1,0,0,1,0,1
39,59.3261439,45.57838773,1,0,0,1,0,0
40,59.41330626,46.13971921,1,0,0,1,0,0
